CNPJ_Emissora,Codigo_Identificacao_Certificado,Companhia_Emissora,Tipo_Lastro,Detalhamento_Lastro,Numero_Emissao,Nome_Emissao,Data_Emissao,_tipo_certificado
02.773.542/0001-22,BRRBRACRA1Z6,Opea Securtizadora,Créditos,CPR - Financeira,40.0,"Sênior | 1ª Série da 40ª Emissão, Sênior | 2ª Série da 40ª Emissão e Subordinada | 3ª Série da 40ª Emissão",2022-05-30,CRA
02.773.542/0001-22,BRRBRACRA231,Opea Securtizadora,Créditos,CPR - Financeira,47.0,Sênior | 1ª Série da 47ª Emissão e Sênior | 2ª Série da 47ª Emissão,2022-07-15,CRA
02.773.542/0001-22,BRRBRACRA298,Opea Securtizadora,Título de Dívida,Nota Comercial,45.0,Sênior | 1ª Série da 45ª Emissão,2022-07-20,CRA
02.773.542/0001-22,BRRBRACRA2A7,Opea Securtizadora,Título de Dívida,Nota Comercial,50.0,Sênior | 1ª Série da 50ª Emissão,2022-07-20,CRA
02.773.542/0001-22,BRRBRACRA2B5,Opea Securtizadora,Título de Dívida,Nota Comercial,51.0,Sênior | 1ª Série da 51ª Emissão,2022-07-20,CRA
02.773.542/0001-22,BRRBRACRA2C3,Opea Securtizadora,Título de Dívida,Nota Comercial,49.0,Sênior | 1ª Série da 49ª Emissão,2022-08-01,CRA
02.773.542/0001-22,BRRBRACRA2E9,Opea Securtizadora,Título de Dívida,Nota Comercial,56.0,Sênior | 1ª Série da 56ª Emissão e Sênior | 2ª Série da 56ª Emissão,2022-10-15,CRA
02.773.542/0001-22,BRRBRACRA2G4,Opea Securtizadora,Título de Dívida,Nota Comercial,46.0,Sênior | 1ª Série da 46ª Emissão,2022-10-17,CRA
02.773.542/0001-22,BRRBRACRA2I0,Opea Securtizadora,Créditos,CPR - Financeira,58.0,Sênior | 1ª Série da 58ª Emissão,2022-11-25,CRA
02.773.542/0001-22,BRRBRACRA2J8,Opea Securtizadora,Créditos,CPR - Financeira,55.0,Sênior | 1ª Série da 55ª Emissão,2022-11-07,CRA
02.773.542/0001-22,BRRBRACRA2K6,Opea Securtizadora,Créditos,CPR - Financeira,60.0,Sênior | 1ª Série da 60ª Emissão,2022-12-02,CRA
02.773.542/0001-22,BRRBRACRA2L4,Opea Securtizadora,Título de Dívida,Nota Comercial,63.0,Sênior | 1ª Série da 63ª Emissão,2022-12-01,CRA
02.773.542/0001-22,BRRBRACRA2M2,Opea Securtizadora,Créditos,CPR - Financeira,67.0,Sênior | 1ª Série da 67ª Emissão,2022-12-07,CRA
02.773.542/0001-22,BRRBRACRA2N0,Opea Securtizadora,Créditos,CPR - Financeira,71.0,Sênior | 1ª Série da 71ª Emissão,2022-12-09,CRA
02.773.542/0001-22,BRRBRACRA2O8,Opea Securtizadora,Créditos,CPR - Financeira,72.0,Sênior | 1ª Série da 72ª Emissão,2022-12-12,CRA
02.773.542/0001-22,BRRBRACRA2P5,Opea Securtizadora,Título de Dívida,Debênture,65.0,Sênior | 1ª Série da 65ª Emissão,2022-12-15,CRA
02.773.542/0001-22,BRRBRACRA2W1,Opea Securtizadora,Créditos,CPR - Financeira,73.0,Sênior | 1ª Série da 73ª Emissão e Sênior | 2ª Série da 73ª Emissão,2023-01-19,CRA
02.773.542/0001-22,BRRBRACRA306,Opea Securtizadora,Título de Dívida,Nota Comercial,78.0,Sênior | 1ª Série da 78ª Emissão,2023-02-17,CRA
02.773.542/0001-22,BRRBRACRA314,Opea Securtizadora,Título de Dívida,Nota Comercial,79.0,Sênior | 1ª Série da 79ª Emissão,2023-02-17,CRA
02.773.542/0001-22,BRRBRACRA322,Opea Securtizadora,Título de Dívida,Debênture,83.0,Sênior | 1ª Série da 83ª Emissão e Sênior | 2ª Série da 83ª Emissão,2023-03-15,CRA
02.773.542/0001-22,BRRBRACRA355,Opea Securtizadora,Título de Dívida,Debênture,87.0,Sênior | 1ª Série da 87ª EmissãoSênior | 2ª Série da 87ª Emissão,2023-05-05,CRA
02.773.542/0001-22,BRRBRACRA355,Opea Securtizadora,Título de Dívida,Debênture,87.0,Sênior | 1ª Série da 87ª Emissão e Sênior | 2ª Série da 87ª Emissão,2023-05-05,CRA
02.773.542/0001-22,BRRBRACRA371,Opea Securtizadora,Créditos,CPR - Financeira,81.0,Sênior | 1ª Série da 81ª Emissão,2023-04-28,CRA
02.773.542/0001-22,BRRBRACRA389,Opea Securtizadora,Título de Dívida,Nota Comercial,85.0,Sênior | 1ª Série da 85ª Emissão,2023-05-15,CRA
02.773.542/0001-22,BRRBRACRA397,Opea Securtizadora,Créditos,CPR - Financeira,68.0,"Sênior | 1ª Série da 68ª Emissão, Mezanino | 2ª Série da 68ª Emissão e Subordinada | 3ª Série da 68ª Emissão",2023-05-17,CRA
02.773.542/0001-22,BRRBRACRA3C1,Opea Securtizadora,Créditos,Letras Financeiras Subordinadas,92.0,"Sênior | 1ª Série da 92ª Emissão, Sênior | 2ª Série da 92ª Emissão, Sênior | 3ª Série da 92ª Emissão e Sênior | 4ª Série da 92ª Emissão",2023-06-30,CRA
02.773.542/0001-22,BRRBRACRA3G2,Opea Securtizadora,Créditos,CPR - Financeira,76.0,Sênior | 1ª Série da 76ª Emissão,2023-06-02,CRA
02.773.542/0001-22,BRRBRACRA3K4,Opea Securtizadora,Título de Dívida,Nota Comercial,96.0,Sênior | 1ª Série da 96ª Emissão,2023-07-05,CRA
02.773.542/0001-22,BRRBRACRA3M0,Opea Securtizadora,Créditos,CPR - Financeira,98.0,Sênior | 1ª Série da 98ª Emissão e Sênior | 2ª Série da 98ª Emissão,2023-07-05,CRA
02.773.542/0001-22,BRRBRACRA3P3,Opea Securtizadora,Créditos,CPR - Financeira,93.0,Sênior | 1ª Série da 93ª Emissão,2023-07-28,CRA
